height,year,MD_median_annual_temperature,MD_median_annual_heatindex,MD_deviation_temperature,MD_deviation_heatindex,FL_median_annual_temperature,FL_median_annual_heatindex,FL_deviation_temperature,FL_deviation_heatindex
20,1983,76.20,76.70,-1.00,-1.00,71.14,71.20,-1.29,-1.40
20,1984,76.30,76.80,-0.90,-0.90,71.40,71.60,-1.03,-1.00
20,1985,77.50,78.00,0.30,0.30,73.86,74.10,1.43,1.50
20,1986,78.00,78.60,0.80,0.90,72.86,73.10,0.43,0.50
20,1987,76.40,76.90,-0.80,-0.80,70.24,70.30,-2.19,-2.30
20,1988,76.40,76.80,-0.80,-0.90,70.30,70.40,-2.13,-2.20
20,1989,77.10,77.60,-0.10,-0.10,72.16,72.30,-0.27,-0.30
20,1990,76.70,77.20,-0.50,-0.50,72.47,72.70,0.04,0.10
20,1991,77.60,78.20,0.40,0.50,73.88,74.20,1.45,1.60
20,1992,76.15,76.60,-1.05,-1.10,70.95,71.10,-1.48,-1.50
20,1993,77.00,77.50,-0.20,-0.20,70.96,71.10,-1.47,-1.50
20,1994,78.00,78.60,0.80,0.90,73.38,73.70,0.95,1.10
20,1995,78.40,79.00,1.20,1.30,73.34,73.60,0.92,1.00
20,1996,77.00,77.50,-0.20,-0.20,71.37,71.50,-1.06,-1.10
20,1997,77.60,78.20,0.40,0.50,72.15,72.40,-0.28,-0.20
20,1998,77.20,77.80,0.00,0.10,73.04,73.30,0.61,0.70
20,1999,76.00,76.40,-1.20,-1.30,73.39,73.60,0.96,1.00
20,2000,74.95,75.40,-2.25,-2.30,70.51,70.60,-1.92,-2.00
20,2001,75.70,76.20,-1.50,-1.50,71.16,71.30,-1.27,-1.30
20,2002,77.50,78.00,0.30,0.30,74.58,74.90,2.15,2.30
20,2003,78.90,79.50,1.70,1.80,73.47,73.70,1.04,1.10
20,2004,76.40,76.90,-0.80,-0.80,71.98,72.20,-0.44,-0.40
20,2005,76.60,77.20,-0.60,-0.50,70.46,70.60,-1.97,-2.00
20,2006,75.80,76.30,-1.40,-1.40,71.71,71.80,-0.72,-0.80
20,2007,76.40,76.90,-0.80,-0.80,72.15,72.20,-0.28,-0.40
20,2008,75.95,76.40,-1.25,-1.30,71.41,71.50,-1.02,-1.10
20,2009,77.60,78.10,0.40,0.40,72.35,72.60,-0.08,0.00
20,2010,76.60,77.10,-0.60,-0.60,70.25,70.30,-2.18,-2.30
20,2011,76.70,77.20,-0.50,-0.50,71.59,71.70,-0.84,-0.90
20,2012,76.80,77.30,-0.40,-0.40,73.16,73.40,0.73,0.80
20,2013,77.80,78.40,0.60,0.70,71.83,72.10,-0.60,-0.50
20,2014,76.80,77.30,-0.40,-0.40,70.70,70.90,-1.73,-1.70
20,2015,78.90,79.50,1.70,1.80,74.84,75.30,2.41,2.70
20,2016,77.80,78.40,0.60,0.70,73.14,73.40,0.71,0.80
20,2017,77.30,77.90,0.10,0.20,72.90,73.20,0.47,0.60
20,2018,77.80,78.40,0.60,0.70,73.03,73.40,0.60,0.80
20,2019,79.30,79.90,2.10,2.20,75.14,75.50,2.71,2.90
20,2020,79.30,80.00,2.10,2.30,74.46,74.80,2.03,2.20
20,2021,78.20,78.80,1.00,1.10,73.12,73.40,0.69,0.80
20,2022,78.30,78.90,1.10,1.20,73.22,73.50,0.79,0.90